temps;intensite
-0,000884;0,568
-0,00088;0,564
-0,000876;0,564
-0,000872;0,568
-0,000868;0,564
-0,000864;0,564
-0,00086;0,564
-0,000856;0,568
-0,000852;0,564
-0,000848;0,56
-0,000844;0,56
-0,00084;0,556
-0,000836;0,556
-0,000832;0,556
-0,000828;0,552
-0,000824;0,552
-0,00082;0,552
-0,000816;0,552
-0,000812;0,548
-0,000808;0,548
-0,000804;0,544
-0,0008;0,544
-0,000796;0,544
-0,000792;0,536
-0,000788;0,54
-0,000784;0,536
-0,00078;0,536
-0,000776;0,532
-0,000772;0,532
-0,000768;0,528
-0,000764;0,528
-0,00076;0,524
-0,000756;0,528
-0,000752;0,52
-0,000748;0,52
-0,000744;0,52
-0,00074;0,516
-0,000736;0,516
-0,000732;0,512
-0,000728;0,508
-0,000724;0,508
-0,00072;0,508
-0,000716;0,504
-0,000712;0,504
-0,000708;0,504
-0,000704;0,504
-0,0007;0,5
-0,000696;0,496
-0,000692;0,496
-0,000688;0,492
-0,000684;0,492
-0,00068;0,488
-0,000676;0,488
-0,000672;0,488
-0,000668;0,484
-0,000664;0,484
-0,00066;0,484
-0,000656;0,484
-0,000652;0,48
-0,000648;0,48
-0,000644;0,48
-0,00064;0,476
-0,000636;0,476
-0,000632;0,476
-0,000628;0,476
-0,000624;0,472
-0,00062;0,468
-0,000616;0,472
-0,000612;0,468
-0,000608;0,468
-0,000604;0,464
-0,0006;0,464
-0,000596;0,464
-0,000592;0,464
-0,000588;0,46
-0,000584;0,46
-0,00058;0,456
-0,000576;0,46
-0,000572;0,456
-0,000568;0,456
-0,000564;0,456
-0,00056;0,456
-0,000556;0,456
-0,000552;0,456
-0,000548;0,452
-0,000544;0,448
-0,00054;0,452
-0,000536;0,452
-0,000532;0,452
-0,000528;0,452
-0,000524;0,448
-0,00052;0,452
-0,000516;0,452
-0,000512;0,444
-0,000508;0,448
-0,000504;0,448
-0,0005;0,44
-0,000496;0,448
-0,000492;0,448
-0,000488;0,448
-0,000484;0,444
-0,00048;0,448
-0,000476;0,444
-0,000472;0,444
-0,000468;0,444
-0,000464;0,444
-0,00046;0,444
-0,000456;0,444
-0,000452;0,44
-0,000448;0,444
-0,000444;0,444
-0,00044;0,444
-0,000436;0,44
-0,000432;0,444
-0,000428;0,444
-0,000424;0,444
-0,00042;0,444
-0,000416;0,44
-0,000412;0,44
-0,000408;0,444
-0,000404;0,444
-0,0004;0,44
-0,000396;0,444
-0,000392;0,44
-0,000388;0,444
-0,000384;0,44
-0,00038;0,44
-0,000376;0,44
-0,000372;0,444
-0,000368;0,44
-0,000364;0,444
-0,00036;0,444
-0,000356;0,444
-0,000352;0,44
-0,000348;0,44
-0,000344;0,444
-0,00034;0,444
-0,000336;0,44
-0,000332;0,44
-0,000328;0,44
-0,000324;0,44
-0,00032;0,44
-0,000316;0,44
-0,000312;0,44
-0,000308;0,44
-0,000304;0,44
-0,0003;0,44
-0,000296;0,444
-0,000292;0,44
-0,000288;0,44
-0,000284;0,44
-0,00028;0,44
-0,000276;0,444
-0,000272;0,44
-0,000268;0,444
-0,000264;0,444
-0,00026;0,444
-0,000256;0,444
-0,000252;0,44
-0,000248;0,44
-0,000244;0,436
-0,00024;0,44
-0,000236;0,444
-0,000232;0,452
-0,000228;0,444
-0,000224;0,44
-0,00022;0,44
-0,000216;0,44
-0,000212;0,44
-0,000208;0,444
-0,000204;0,444
-0,0002;0,444
-0,000196;0,44
-0,000192;0,444
-0,000188;0,444
-0,000184;0,44
-0,00018;0,444
-0,000176;0,44
-0,000172;0,44
-0,000168;0,44
-0,000164;0,444
-0,00016;0,44
-0,000156;0,444
-0,000152;0,44
-0,000148;0,444
-0,000144;0,444
-0,00014;0,448
-0,000136;0,444
-0,000132;0,448
-0,000128;0,444
-0,000124;0,444
-0,00012;0,444
-0,000116;0,444
-0,000112;0,44
-0,000108;0,444
-0,000104;0,448
-0,0001;0,452
-0,000096;0,448
-0,000092;0,444
-0,000088;0,448
-0,000084;0,448
-0,00008;0,448
-0,000076;0,448
-0,000072;0,448
-0,000068;0,448
-0,000064;0,448
-0,00006;0,448
-0,000056;0,448
-0,000052;0,452
-0,000048;0,452
-0,000044;0,452
-0,00004;0,452
-0,000036;0,456
-0,000032;0,452
-0,000028;0,452
-0,000024;0,456
-0,00002;0,456
-0,000016;0,46
-0,000012;0,456
-0,000008;0,452
-0,000004;0,456
0;0,46
0,000004;0,46
0,000008;0,46
0,000012;0,46
0,000016;0,464
0,00002;0,464
0,000024;0,464
0,000028;0,464
0,000032;0,468
0,000036;0,468
0,00004;0,468
0,000044;0,472
0,000048;0,472
0,000052;0,472
0,000056;0,472
0,00006;0,476
0,000064;0,476
0,000068;0,476
0,000072;0,476
0,000076;0,472
0,00008;0,476
0,000084;0,48
0,000088;0,48
0,000092;0,48
0,000096;0,484
0,0001;0,48
0,000104;0,484
0,000108;0,488
0,000112;0,488
0,000116;0,488
0,00012;0,488
0,000124;0,496
0,000128;0,492
0,000132;0,492
0,000136;0,496
0,00014;0,5
0,000144;0,5
0,000148;0,5
0,000152;0,504
0,000156;0,504
0,00016;0,504
0,000164;0,508
0,000168;0,508
0,000172;0,508
0,000176;0,516
0,00018;0,512
0,000184;0,512
0,000188;0,516
0,000192;0,516
0,000196;0,52
0,0002;0,52
0,000204;0,524
0,000208;0,524
0,000212;0,524
0,000216;0,528
0,00022;0,524
0,000224;0,532
0,000228;0,532
0,000232;0,536
0,000236;0,54
0,00024;0,536
0,000244;0,54
0,000248;0,54
0,000252;0,544
0,000256;0,544
0,00026;0,544
0,000264;0,544
0,000268;0,548
0,000272;0,548
0,000276;0,548
0,00028;0,552
0,000284;0,556
0,000288;0,556
0,000292;0,556
0,000296;0,556
0,0003;0,552
0,000304;0,56
0,000308;0,56
0,000312;0,568
0,000316;0,564
0,00032;0,56
0,000324;0,564
0,000328;0,564
0,000332;0,564
0,000336;0,572
0,00034;0,564
0,000344;0,568
0,000348;0,552
0,000352;0,568
0,000356;0,568
0,00036;0,572
0,000364;0,568
0,000368;0,564
0,000372;0,568
0,000376;0,568
0,00038;0,568
0,000384;0,564
0,000388;0,568
0,000392;0,568
0,000396;0,572
0,0004;0,568
0,000404;0,568
0,000408;0,568
0,000412;0,564
0,000416;0,564
0,00042;0,564
0,000424;0,56
0,000428;0,56
0,000432;0,56
0,000436;0,56
0,00044;0,552
0,000444;0,56
0,000448;0,556
0,000452;0,552
0,000456;0,552
0,00046;0,548
0,000464;0,548
0,000468;0,544
0,000472;0,548
0,000476;0,54
0,00048;0,54
0,000484;0,536
0,000488;0,536
0,000492;0,536
0,000496;0,532
0,0005;0,532
0,000504;0,528
0,000508;0,52
0,000512;0,52
0,000516;0,516
0,00052;0,516
0,000524;0,516
0,000528;0,512
0,000532;0,5
0,000536;0,508
0,00054;0,504
0,000544;0,504
0,000548;0,5
0,000552;0,496
0,000556;0,492
0,00056;0,492
0,000564;0,488
0,000568;0,48
0,000572;0,484
0,000576;0,48
0,00058;0,48
0,000584;0,476
0,000588;0,476
0,000592;0,472
0,000596;0,472
0,0006;0,464
0,000604;0,464
0,000608;0,46
0,000612;0,46
0,000616;0,46
0,00062;0,456
0,000624;0,456
0,000628;0,456
0,000632;0,456
0,000636;0,448
0,00064;0,448
0,000644;0,448
0,000648;0,448
0,000652;0,448
